港台精選,#genre#
J2,http://bd.228888888.xyz:8081/hls/ch102.m3u8
無線財*,http://bd.228888888.xyz:8081/hls/ch103.m3u8
TVB明珠,http://bd.228888888.xyz:8081/hls/ch104.m3u8
無線新聞,http://bd.228888888.xyz:8081/hls/ch201.m3u8
TVB星河,http://bd.228888888.xyz:8081/hls/ch105.m3u8
星河國語,http://bd.228888888.xyz:8081/hls/ch108.m3u8
有線新聞,http://bd.228888888.xyz:8081/hls/ch109.m3u8
鳳凰電影,http://bd.228888888.xyz:8081/hls/ch110.m3u8
thrill,http://bd.228888888.xyz:8081/hls/ch112.m3u8
TVB經典,http://bd.228888888.xyz:8081/hls/ch113.m3u8
衛視國際電影,http://bd.228888888.xyz:8081/hls/ch111.m3u8
NOW新聞,http://bd.228888888.xyz:8081/hls/ch114.m3u8
VIUTV,http://bd.228888888.xyz:8081/hls/ch115.m3u8
VIUTV6,http://bd.228888888.xyz:8081/hls/ch116.m3u8
有線財*,http://bd.228888888.xyz:8081/hls/ch117.m3u8
有線娛樂,http://bd.228888888.xyz:8081/hls/ch118.m3u8
有線18,http://bd.228888888.xyz:8081/hls/ch119.m3u8

衛星TV源,#genre#
BabyFirst臺灣,http://ms003.happytv.com.tw/live/F9YMztT5DcwWEr1f/index.m3u8
CNEX Taiwan,http://220.158.149.14:9999/live/TV00000000000000000083@HHZT;LIVE
CNEX Taiwan,http://61.58.60.230:9319/live/257.m3u8
CYC世新綜合,http://61.58.60.230:9319/live/49.m3u8
HBO Asia,http://220.158.149.14:9999/live/TV00000000000000000166@HHZT;LIVE
TVBS新聞台,http://220.158.149.14:9999/live/TV00000000000000000082@HHZT;LIVE
TVBS新聞台,http://60.199.188.65/HLS/WG_TVBS-N/02.m3u8
TVBS歡樂台,http://220.158.149.14:9999/live/TV00000000000000000079@HHZT;LIVE
民視新聞台,http://210.61.56.23/hls/ftvtv/index.m3u8
民視新聞台,http://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
民視新聞台,https://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
三立新聞台,http://60.199.188.65/HLS/WG_ETTV-N/02.m3u8
壹電視新聞台,https://usb.bozztv.com/ssh101/NEXTTVHD/NEXTTVHD/playlist.m3u8
信吉電視,http://220.130.241.203:1935/sjtv/livestream/chunklist_w1048671923.m3u8
公視三台,https://usb.bozztv.com/ssh101/PTSTV3HD/PTSTV3HD/playlist.m3u8
博斯魅力,http://ms003.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8
緯來精采,https://usb.bozztv.com/ssh101/ttvbHD/ttvbHD/index.m3u8
緯來體育台,http://220.158.149.14:9999/live/TV00000000000000000078@HHZT;LIVE
大嘉義綜合台,http://61.58.60.230:9319/live/3.m3u8
大愛一台,http://tv1.wanfudaluye.com/live/live.m3u8
大愛二台,http://61.58.60.230:9319/live/191.m3u8
希望電視台,http://bcliveuniv-lh.akamaihd.net:80/i/Live_1@384161/index_500_av-p.m3u8
幸福成家,http://61.58.60.230:9319/live/80.m3u8
幸福空間居家台,http://61.58.60.230:9319/live/125.m3u8
新唐人亞太台,https://live.ntdimg.com/aplive200/playlist.m3u8
番薯 TV,http://210.209.3.1/live/C02DD98E-593E-47A8-905C-3B101183A555.m3u8?fmt=x264_500K_ts&cpid=admin
空中英語教室,http://220.158.149.14:9999/live/TV00000000000000000077@HHZT;LIVE
靖天卡通台,http://61.58.60.230:9319/live/207.m3u8
靖天國際,http://61.58.60.230:9319/live/205.m3u8
靖天戲劇台,http://61.58.60.230:9319/live/203.m3u8
靖天日本台,http://61.58.60.230:9319/live/243.m3u8
靖天映畫,http://61.58.60.230:9319/live/244.m3u8
靖天歡樂台,http://61.58.60.230:9319/live/201.m3u8
靖天育樂台,http://61.58.60.230:9319/live/204.m3u8
靖天資訊台,http://61.58.60.230:9319/live/202.m3u8
靖洋卡通台,http://61.58.60.230:9319/live/206.m3u8
原住民族電視台,https://bcovlive-a.akamaihd.net/82be3b97f67745058447484cc8a2d015/ap-southeast-1/5817780548001/profile_0/chunklist.m3u8
台南地方公用頻道,http://61.58.60.230:9319/live/2.m3u8
台灣藝術台,http://210.209.3.1/live/4715A9B3-B3CB-93DC-EDD6-CABCE3AFD3E3.m3u8?fmt=x264_500K_ts&cpid=admin&size=1280X720
台視財經台,https://usb.bozztv.com/ssh101/TTVHD/TTVHD/index.m3u8
唯心電視,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
唯心電視,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
國會頻道1,http://61.58.60.230:9319/live/123.m3u8
國會頻道2,http://61.58.60.230:9319/live/124.m3u8
立法院IVOD直播交通委員會,https://lylive-videorent.cdn.hinet.net/out/u/live/gop4/ly/ly-Live6/hls-cl-tv/index.m3u8
立法院IVOD直播內政委員會,https://lylive-videorent.cdn.hinet.net/out/u/live/gop4/ly/ly-Live7/hls-cl-tv/index.m3u8
立法院IVOD直播司法及法制委員會,https://lylive-videorent.cdn.hinet.net/out/u/live/gop4/ly/ly-Live9/hls-cl-tv/index.m3u8
立法院IVOD直播外交及國防委員會,https://lylive-videorent.cdn.hinet.net/out/u/live/gop4/ly/ly-Live8/hls-cl-tv/index.m3u8
立法院IVOD直播教育及文化委員會,https://lylive-videorent.cdn.hinet.net/out/u/live/gop4/ly/ly-Live4/hls-cl-tv/index.m3u8
立法院IVOD直播朝野協商,https://lylive-videorent.cdn.hinet.net/out/u/live/gop4/ly/ly-Live10/hls-cl-tv/index.m3u8
立法院IVOD直播社會福利及衛生環境委員會,https://lylive-videorent.cdn.hinet.net/out/u/live/gop4/ly/ly-Live3/hls-cl-tv/index.m3u8
立法院IVOD直播經濟委員會,https://lylive-videorent.cdn.hinet.net/out/u/live/gop4/ly/ly-Live5/hls-cl-tv/index.m3u8
立法院IVOD直播財政委員會,https://lylive-videorent.cdn.hinet.net/out/u/live/gop4/ly/ly-Live2/hls-cl-tv/index.m3u8
立法院IVOD直播院會,https://lylive-videorent.cdn.hinet.net/out/u/live/gop4/ly/ly-Live1/hls-cl-tv/index.m3u8
行政院環保署空氣品質監測,http://61.58.60.230:9319/live/709.m3u8
Channel 5,https://dlau142f16b92.cloudfront.net/hls/ch5ctv/master.m3u8
Channel 8,https://d34e90s3s13i7n.cloudfront.net/hls/ch8ctv/master.m3u8
Channel U,https://d3inlz9elsutjl.cloudfront.net/hls/chuctv/master.m3u8
CNA,http://210.210.155.35/uq2663/h/h29/index.m3u8
CNA HD,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
OKTO on 5,https://ddftztnzt6o79.cloudfront.net/hls/oktoctv/master.m3u8
Suria,https://d11h6a6nhl9kj9.cloudfront.net/hls/suriactv/master.m3u8
Vasantham,https://d39v9xz8f7n8tk.cloudfront.net/hls/vsnthmctv/master.m3u8


萬歲影視,#genre#
中天綜合,http://104.250.154.42:8080/ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
中天綜合,http://iptv.52qdg.com/iptv.php?id=tw&pamid=005
中牟綜合,http://live.dxhmt.cn:9081/tv/10122-1.m3u8
華視HD,rtmp://xiaoyu.speedws.com/sat/tv111
中視HD,rtmp://xiaoyu.speedws.com/sat/tv091
台視HD,rtmp://xiaoyu.speedws.com/sat/tv071
民視HD,rtmp://xiaoyu.speedws.com/sat/tv051
中天新聞,rtmp://xiaoyu.speedws.com/sat/tv521
年代新聞,p8p://0198.02686.cc:16871/5d1a69bb000e0fd711bdfb32923ec02b.ts
年代新聞,http://192.154.103.75:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
年代新聞,http://104.250.154.42:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
WIN綜合台,rtmp://xiaoyu.speedws.com/sat/tv761
東森財經新聞,rtmp://xiaoyu.speedws.com/sat/tv571
TVBS新聞HD,rtmp://xiaoyu.speedws.com/sat/tv551
TVBS歡樂HD,rtmp://xiaoyu.speedws.com/sat/tv421
中天娛樂,http://104.250.154.42:8080//ZZ_zhongtianyule/ZZ_zhongtianyule.m3u8
中天新聞,http://104.250.154.42:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8
東森新聞,http://104.250.154.42:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
年代新聞,http://104.250.154.42:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
壹新聞NEXTHD高清,https://usb.bozztv.com/ssh101/NEXTTVHD/NEXTTVHD/media.m3u8
國家地理,http://104.250.154.42:8080/ZZ_hbo/ZZ_hbo.m3u8
好萊塢電影,http://192.154.103.75:8080//ZZ_haolaiwu/ZZ_haolaiwu.m3u8
居家幸福,http://61.58.60.230:9319/live/125.m3u8
希望電視台,http://bcliveuniv-lh.akamaihd.net/i/Live_1@384161/index_1200_av-p.m3u8
東森新聞,http://192.154.103.75:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
中天新聞,http://104.250.154.42:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8
年代新聞,http://192.154.103.75:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
中視綜合,http://104.250.154.42:8080/ZZ_zhongshi/ZZ_zhongshi.m3u8
年代新聞,http://192.154.103.75:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
八大綜合,http://104.250.154.42:8080//ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8
八大綜合,http://104.250.154.42:8080/ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8
世紀綜合,http://61.58.60.230:9319/live/49.m3u8
信吉電視,http://220.130.241.203:1935/sjtv/livestream/chunklist_w1048671923.m3u8
FOX SPORT 1,rtmp://xiaoyu.speedws.com/sat/tv731
FOX SPORT 2,rtmp://xiaoyu.speedws.com/sat/tv741
FOX動作電影,http://104.250.154.42:8080/ZZ_foxaction/ZZ_foxaction.m3u8
博斯魅力,http://ms003.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8?token=BIk2YfurpyjroYsSvl8Ciw&time=1558345786385
博斯魅力台,http://ms003.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8
HBO家庭,vjms://58.215.133.161:8500/live/cid=181
HBO電影,vjms://58.215.133.161:8500/live/cid=261
HBO原創,vjms://58.215.133.161:8500/live/cid=436
HBO強檔,vjms://58.215.133.161:8500/live/cid=238
好萊塢電影,http://104.250.154.42:8080/ZZ_haolaiwu/ZZ_haolaiwu.m3u8
東森洋片,http://104.250.154.42:8080/ZZ_dongsenyangpian/ZZ_dongsenyangpian.m3u8
東森電影,http://104.250.154.42:8080/ZZ_dongsendianying/ZZ_dongsendianying.m3u8
華納電影,http://104.250.154.42:8080/ZZ_huanadianying/ZZ_huanadianying.m3u8
龍祥電影,http://104.250.154.42:8080/ZZ_shidai/ZZ_shidai.m3u8
國家地理,http://104.250.154.42:8080/ZZ_hbo/ZZ_hbo.m3u8
動物星球,http://104.250.154.42:8080/ZZ_dongwuxingqiu/ZZ_dongwuxingqiu.m3u8
緯來日本HD,rtmp://xiaoyu.speedws.com/sat/tv771
緯來體育HD,rtmp://xiaoyu.speedws.com/sat/tv721
緯來育樂HD,rtmp://xiaoyu.speedws.com/sat/tv701
5m Kitchen Hacks,https://bozztv.com/36bay2/gin/giniko_5minkitchen_1500kb_36bay2/index.m3u8
5m Life Hacks,https://bozztv.com/36bay2/gin/giniko_5minlifehacks_1500kb_36bay2/index.m3u8
5m Quick Crafts,https://bozztv.com/36bay2/gin/giniko_5min_1500kb_36bay2/index.m3u8
CNTV Canada National TV,https://wowzaprodhd84-lh.akamaihd.net/i/4ae6355d_1@505999/index_2150400_av-p.m3u8

必勝影視,#genre#
中天綜合,http://104.250.154.42:8080//ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
中天娛樂,http://104.250.154.42:8080//ZZ_zhongtianyule/ZZ_zhongtianyule.m3u8
中天新聞,http://104.250.154.42:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8
中天新聞HD,http://60.199.188.61/HLS/WG_ETTV-N/index.m3u8
年代新聞,http://104.250.154.42:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
FOX動作電影,http://104.250.154.42:8080/ZZ_foxaction/ZZ_foxaction.m3u8
好萊塢電影,http://104.250.154.42:8080/ZZ_haolaiwu/ZZ_haolaiwu.m3u8
東森新聞,http://104.250.154.42:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
東森洋片,http://104.250.154.42:8080/ZZ_dongsenyangpian/ZZ_dongsenyangpian.m3u8
東森電影,http://104.250.154.42:8080/ZZ_dongsendianying/ZZ_dongsendianying.m3u8
華納電影,http://104.250.154.42:8080/ZZ_huanadianying/ZZ_huanadianying.m3u8
龍祥電影,http://104.250.154.42:8080/ZZ_shidai/ZZ_shidai.m3u8
國家地理,http://104.250.154.42:8080/ZZ_hbo/ZZ_hbo.m3u8
動物星球,http://104.250.154.42:8080/ZZ_dongwuxingqiu/ZZ_dongwuxingqiu.m3u8
Tvb 星河,http://192.154.103.75:8080/ZZ_xinghe/ZZ_xinghe.m3u8
TVBS新聞,http://60.199.188.65/HLS/WG_TVBS-N/index.m3u8
TVBS新聞,http://60.199.188.66/HLS/WG_TVBS-N/02.m3u8
TVBS新聞,http://60.199.188.66/HLS/WG_TVBS-N/01.m3u8
TVBS新聞台,http://60.199.188.61/HLS/WG_TVBS-N/02.m3u8
TVBS新聞台,http://60.199.188.61/HLS/WG_TVBS-N/01.m3u8
TVBS新聞台,http://60.199.188.61/HLS/WG_TVBS-N/index.m3u8
三立新聞,http://60.199.188.65/HLS/WG_ETTV-N/02.m3u8
三立新聞,http://60.199.188.66/HLS/WG_ETTV-N/01.m3u8
三立新聞,http://60.199.188.66/HLS/WG_ETTV-N/02.m3u8
亞旅衛視,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
亞洲新聞3,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_3.m3u8
亞美衛視,http://dcunilive30-lh.akamaihd.net/i/dclive_1@535522/index_150_av-p.m3u8?sd=6&rebase=on
八大綜合,http://104.250.154.42:8080//ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8
八大綜合,http://live3.ocnttv.com:8080/ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8
八大綜合,http://104.250.154.42:8080//ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8
東森新聞,http://80.245.105.21:8006/lbtv/live/kwzq1rse/94zf0c2v/index.m3u8
東森洋片,http://192.154.103.75:8080/ZZ_dongsenyangpian/ZZ_dongsenyangpian.m3u8
民視新聞,http://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8

鳳凰衛視中文台 1,http://112.17.40.139:80/PLTV/88888888/224/3221226368/index.m3u8?icpid=88888888&from=30&hms_devid=1452
鳳凰衛視中文台 2,http://112.17.40.139:80/PLTV/88888888/224/3221226368/index.m3u8?icpid=88888888&from=30&hms_devid=1452
鳳凰衛視中文台 3,http://liveali.ifeng.com/live/FHZW.flv
鳳凰衛視高清,http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8
鳳凰資訊,http://live.centerch.com/fhzx.m3u8
鳳凰資訊台,http://125.210.152.18:9090/live/FHZX_1200.m3u8
鳳凰香港台,http://192.154.103.75:8080//ZZ_fenghuangxianggang/ZZ_fenghuangxianggang.m3u8
鳳凰香港台,http://104.250.154.42:8080/ZZ_fenghuangxianggang/ZZ_fenghuangxianggang.m3u8
加拿大BBC Toronto印第安頻道,http://start.agmediachandigarh.com/gaundapunjab/tv/playlist.m3u8
加拿大Space,http://pe-ak-lp01a-9c9media.akamaized.net/live/Space/p/hls/00000201/689924a518f2c776/index/2176f3ac/live/stream/h264/v1/3500000/manifest.m3u8
加拿大Tele-Quebec兒童頻道,https://teleqmmd.mmdlive.lldns.net/teleqmmd/f386e3b206814e1f8c8c1c71c0f8e748/chunklist_b2592000.m3u8
加拿大The Shopping Channel,http://tscstreaming-lh.akamaihd.net/i/TSCLiveStreaming_1@91031/master.m3u8
加拿大WOWTV中文電視,http://cdn.elsalvadordigital.com:1935/wowtv/wowtv/playlist.m3u8
華視,http://192.154.103.75:8080//ZZ_huashi/ZZ_huashi.m3u8
南陽新聞,http://61.136.113.35/tslslive/zyys888/hls/live_sd.m3u8
博斯魅力 Sportcast,http://ms003.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8
衛視電影台,http://mscvod01tvbdoinfo.akamaized.net/other/maintenance/F11234567890123456789012345678901.m3u8
喜羊羊,http://baiducdncmn.inter.iqiyi.com/tslive/c20_lb_xiyangyang_high_t10/c20_lb_xiyangyang_high_t10.m3u8
國家地理野生 Natgeo wild,http://livecdnh1.tvanywhere.ae/hls/nat_geo_wild/05.m3u8
探索動力,http://51.91.51.39:4770/dmax/tracks-v1a1/mono.m3u8
新傳媒 8,http://d34e90s3s13i7n.cloudfront.net/hls/ch8ctv/master02.m3u8
新華中文,http://livecdn1.news.cn/cnccn/manifest.m3u8
無線新聞,http://www.liveviptv.xyz/tv/tvb.php?vid=wxxw
無線新聞,http://cczylive.chuangwanghulian.cn/live/zy_1531983996445.flv?auth_key=1593500458-57590819-0-3bc1f0bf55895038da448c64a71d09f1
無線新聞,http://47.240.60.73/wxxw.php?id=inews?is_hd
無線新聞,http://cczylive.chuangwanghulian.cn/live/zy_1531983996445.flv?auth_key=1593500458-57590819-0-3bc1f0bf55895038da448c64a71d09f1
無線新聞,http://47.240.60.73/wxxw.php?id=inews?is_hd
無線新聞,http://cczylive.chuangwanghulian.cn/live/zy_1531983996445.flv?auth_key=1593500458-57590819-0-3bc1f0bf55895038da448c64a71d09f1
有線直播新聞台,http://teslagram.com/live/channel_110.m3u8
爆谷台,https://myun-hw-s3.myun.tv/melj80jz/56xk36p7/1583754037503666897.m3u8
虎牙電影,http://aldirect.rtmp.huya.com/huyalive/30765679-2484192572-10669525853706125312-2847687498-10057-A-0-1_1200.m3u8
耀才財經,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才財經台1,http://fc_video.bsgroup.com.hk:443/webcast/bshdlive-pc/playlist.m3u8
耀才財經台2,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才財經台,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
蓮花衛視,http://live-rtmp.lotustv.duolaibo.cn/lotustv/5562e9e4d409d24c9600075c.m3u8
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港開電視,http://media.fantv.hk/m3u8/archive/channel2.m3u8
鳳凰中文,http://live.centerch.com/fhzw.m3u8
7web cooking,https://cdnlive.shooowit.net/la7live/smil:channel1.smil/master.m3u8
ABC NEWS,https://abclive1-lh.akamaihd.net/i/abc_live09@420891/master.m3u8
ABC NEWS LIVE,https://gma2.blab.email/espn2.m3u8
Abu Dhabi Sports 4,http://www.elahmad.com/tv/m3u8/adtv.m3u8?id=abudhabi_sports4
Al Kass Sports,http://www.elahmad.com/tv/m3u8/alkass.m3u8?id=alkass1
Al Kass Sports 2,http://www.elahmad.com/tv/m3u8/alkass.m3u8?id=alkass2
Al Kass Sports 3,http://www.elahmad.com/tv/m3u8/alkass.m3u8?id=alkass3
Al Kass Sports 4,http://www.elahmad.com/tv/m3u8/alkass.m3u8?id=alkass4
Al Kass Sports 5,http://www.elahmad.com/tv/m3u8/alkass.m3u8?id=alkass5
Animal Planet,http://s01.iptvx.tv:8090/s/0d1e1d971b4761ed10aeebb9aab36d0a/animal-planet.m3u8
ASTRO SPORTS 1,https://cdn-laos.workpoint.news/my-asp1hd_720/index.m3u8
ASTRO SPORTS 2,https://cdn-laos.workpoint.news/my-asp2hd_720/index.m3u8
ASTRO SPORTS 3,https://cdn-laos.workpoint.news/my-asp3hd_720/index.m3u8
ASTRO SPORTS 4,https://cdn-laos.workpoint.news/my-asp4_720/index.m3u8
BabyFirst臺灣,http://ms003.happytv.com.tw/live/F9YMztT5DcwWEr1f/index.m3u8
BeIN Sports Extra,https://bein-xtra-roku.amagi.tv/ssai/amagi_hls_data_beinAAAAA-beinxtra/CDN/1920x1080_5640800/index.m3u8
Bikini,https://vcnbikininetwork.teleosmedia.com/stream/bikininetwork/a3bikini/seglist_720p.m3u8
BLOOMBERG 1,http://cdn-videos.akamaized.net/btv/desktop/akamai/europe/live/primary.m3u8
Boston tv,http://unisportslive1-lh.akamaihd.net:80/i/boston_042114_1@39543/index_2000_av-b.m3u8
C+頻道,https://ottproxy2.mott.tv/livehls:cmi/MOB-U1-NO/index.m3u8
CBN News,http://bcliveuniv-lh.akamaihd.net/i/iptv1_1@194050/master.m3u8
CBS News,http://161.0.157.50/PLTV/88888888/224/3221227041/03.m3u8
CGTN Documentary,http://livedoc.cgtn.com/1000d/prog_index.m3u8
CGTN Francias,https://live.cgtn.com/1000f/prog_index.m3u8
CGTN2,http://live.cgtn.com/1000/prog_index.m3u8
CGTN6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
Ch 8,http://live.pjmcdn.info/live/CH8.stream/playlist.m3u8
CNN Live Indonesia,https://live.cnnindonesia.com/livecnn/smil:cnntv.smil/playlist.m3u8
DD News India,https://nicls1-lh.akamaihd.net/i/ddnews_1@409133/index_1_av-p.m3u8?
Edge Sports,https://imgedge.akamaized.net/amagi_hls_data_imgAAA2AA-edgesports/CDN/playlist.m3u8
English Club,http://livecdnh2.tvanywhere.ae/hls/english_club/04.m3u8
English Movie,https://59d39900ebfb8.streamlock.net/horrifiedtv/horrifiedtv/chunklist_w67985971.m3u8
English Movie 1,https://gma2.blab.email/espnews.m3u8
Eurosport 1,http://5.135.92.133:52841/out/u/511_1.m3u8
FASHION PARIS,http://fash1043.cloudycdn.services/slive/_definst_/ftv_paris_adaptive.smil/media.m3u8
Fashion TV,http://wfc.bonus-tv.ru/cdn/wfcint/tracks-v2a1/index.m3u8
Fight Time,http://node01.openfutbol.es/SVoriginOperatorEdge/128761.smil/chunklist_w984445701_b664000.m3u8
FIGHT TIME USA,http://node01.openfutbol.es/SVoriginOperatorEdge/128761.smil/.m3u8
Foreign channel,https://54627d4fc5996.streamlock.net:443/TeleabruzzoTV/TeleabruzzoTV/playlist.m3u8
Fox Business,https://gma2.blab.email/espnu.m3u8
FOX NFL,https://stitcher.pluto.tv/stitch/hls/channel/5a74b8e1e22a61737979c6bf/master.m3u8?deviceType=web&deviceMake=Chrome&deviceModel=Chrome&sid=3fab7580-8b86-11e8-a44b-996a399dacd8&deviceId=3fab0050-8b86-11e8-a44b-996a399dacd8&deviceVersion=67.0.3396.99&appVersion=2.0.0&deviceDNT=0&userId=&advertisingId=&deviceLat=38.8177&deviceLon=-77.1527&app_name=&appName=&appStoreUrl=&serverSideAds=true
Fox Sports 501,http://45.58.62.92:8080
France-24,http://f24hls-i.akamaihd.net/hls/live/221193/F24_EN_LO_HLS/master.m3u8
Happy tv,https://edge1a.v2h-cdn.com/appt3/Happy.stream_360p/chunklist.m3u8
History,http://livecdnh1.tvanywhere.ae:80/hls/h2/04.m3u8
HKC綜合娛樂台,https://ottproxy2.mott.tv/livehls:cmi/MOB-CN/03.m3u8
HK開電視(需代理),http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
Hot1,http://v2.14mp4.com/av-hls/20160713/m1/index.m3u8
Japan,http://movie.mcas.jp/mcas/mx1_2/chunklist.m3u8
Joker Movie HD 2019,http://dl13.ftk.pw/film/Jo.ker.2019.720p.hd.rp.Film2Movie_li.mkv
Korean TV,http://222.252.27.201:88/hls/relay/MuMf3uy/index.m3u8
Law and crime network,https://dai2.xumo.com/amagi_hls_data_xumo1234A-lawcrime/CDN/master.m3u8
Nat Geo,http://livecdnh1.tvanywhere.ae:80/hls/nat_geo/05.m3u8
Nat Geo People,http://livecdnh1.tvanywhere.ae:80/hls/nat_geo_people/05.m3u8
Nat Geo People,http://livecdnh1.tvanywhere.ae/hls/nat_geo_people/04.m3u8
Nat Geo People,http://livecdnh1.tvanywhere.ae/hls/nat_geo_people/05.m3u8
Nat Geo People,http://livecdnh1.tvanywhere.ae/hls/nat_geo_people/02.m3u8
Nat Geo Wild,http://livecdnh1.tvanywhere.ae/hls/nat_geo_wild/02.m3u8
Nat Geo Wild HD,http://livecdnh1.tvanywhere.ae/hls/nat_geo_wild/04.m3u8
National Geographic,http://livecdnh1.tvanywhere.ae/hls/nat_geo/04.m3u8
New18,http://live.pjmcdn.info/live/New-TV.stream/playlist.m3u8
