央视频道,#genre#
陕西卫视 HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=049&Provider_id=&Pcontent_id=index.m3u8
云南卫视 HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=013&Provider_id=&Pcontent_id=index.m3u8
山西卫视 HD,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=010&Provider_id=&Pcontent_id=index.m3u8
甘肃卫视 HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=012&Provider_id=&Pcontent_id=index.m3u8
新疆卫视 HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=058&Provider_id=&Pcontent_id=index.m3u8
湖南潇湘电影 HD,http://124.232.231.246:6610/000000001001/201600020006/1400.m3u8?zte_auth=ae0fcdac&ztecid=201600020005&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=LPjne9%2Bz7%2B%2F905ByFWbN5McknogfJXrVwjUFLaeEL29vpHGrk2l%2FUHYgN1aASj376oO1xLnnHQM%2BvUxQhm38dnHm1eSuY7vi6YzamvW6l8OtgHpq%2BKs%2Bl9QddsFpnz4k&m3u8_level=2&terminal_flag=0&ispcode=8
康巴卫视 SD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=017&Provider_id=&Pcontent_id=index.m3u8
海峡卫视 SD,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=024&Provider_id=&Pcontent_id=index.m3u8
宁夏卫视 SD,http://stream.nxtv.com.cn/wspd/playlist.m3u8?_upt=3b91be771582291716
内蒙古卫视 SD,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=016&Provider_id=&Pcontent_id=index.m3u8
青海卫视 SD,http://hls.globaliptv.ml/myguizhou.php?id=qinghaiweishi
西藏卫视 SD,http://hls.globaliptv.ml/myguizhou.php?id=xizangweishi
港澳台(国语),#genre#
(国语) 凤凰 中文 官方,http://liveali.ifeng.com/live/FHZW.m3u8
(国语) 凤凰 中文 FHD,http://220.158.149.14:9999/live/TV00000000000000000067@HHZT;LIVE
(国语) 凤凰 资讯 官方,http://liveali.ifeng.com/live/FHZX.m3u8
(国语) 凤凰 资讯 FHD,http://220.158.149.14:9999/live/TV00000000000000000066@HHZT;LIVE
(国语) TVBS 新闻 FHD ★,http://seb.sason.top/tv/tvbsxw_fhd.m3u8
(国语) 东森 财经新闻 FHD ★,http://seb.sason.top/tv/dscjxw_fhd.m3u8
(国语) 东森 新闻 FHD ★,http://seb.sason.top/tv/dsxw_fhd.m3u8
(国语) 华视 新闻 FHD ★,http://seb.sason.top/tv/hsxw_fhd.m3u8
(国语) 民视 新闻 FHD ★,http://seb.sason.top/tv/msxw_fhd.m3u8
(国语) 三立iNews FHD ★,http://seb.sason.top/tv/slinews_fhd.m3u8
(国语) 三立Live FHD ★,http://seb.sason.top/tv/sllive_fhd.m3u8
(国语) 台视 新闻 FHD ★,http://seb.sason.top/tv/tsxw_fhd.m3u8
(国语) 中视 新闻 FHD ★,http://seb.sason.top/tv/zsxw_fhd.m3u8
(国语) 中天 新闻 FHD ★,http://seb.sason.top/tv/ztxw_fhd.m3u8
(国语) TVBS 新闻 HD ★,http://seb.sason.top/tv/tvbsxw.m3u8
(国语) 东森 财经新闻 HD ★,http://seb.sason.top/tv/dscjxw.m3u8
(国语) 东森 新闻 HD ★,http://seb.sason.top/tv/dsxw.m3u8
(国语) 华视 新闻 HD ★,http://seb.sason.top/tv/hsxw.m3u8
(国语) 民视 新闻 HD ★,http://seb.sason.top/tv/msxw.m3u8
(国语) 三立iNews HD ★,http://seb.sason.top/tv/slinews.m3u8
(国语) 三立Live HD ★,http://seb.sason.top/tv/sllive.m3u8
(国语) 台视 新闻 HD ★,http://seb.sason.top/tv/tsxw.m3u8
(国语) 中视 新闻 HD ★,http://seb.sason.top/tv/zsxw.m3u8
(国语) 中天 新闻 HD ★,http://seb.sason.top/tv/ztxw.m3u8
(国语) 凤凰 电影,rtmp://58.200.131.2:1935/livetv/fhdy
(国语) 凤凰 香港,http://qlive.fengshows.cn/live720p/PHK.flv?txSecret=daefe6664bbeadcfb4ee2338a48d041c&txTime=16f1ea41738
(国语) 三立 台湾,http://live.ergt4rt.wang/gangaotai.php?id=42
(国语) 台视 财经 ★,https://usb.bozztv.com/ssh101/TTVHD/TTVHD/index.m3u8
(国语) 纬来 精采 ★,https://usb.bozztv.com/ssh101/ttvbHD/ttvbHD/index.m3u8
(国语) 壹新闻 ★,https://usb.bozztv.com/ssh101/NEXTTVHD/NEXTTVHD/playlist.m3u8
(国语) 中视,http://live.ergt4rt.wang/gangaotai.php?id=73
(国语) Channel V,https://v4.uhd.app/hls/channelv.m3u8
(国语) 博斯 魅力 ★,http://ms003.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8
(国语) 大爱 I,http://tv1.wanfudaluye.com/live/live.m3u8
(国语) 大爱 II,https://tv2.wanfudaluye.com/live/live.m3u8
(国语) 大爱 海外,https://tv3.wanfudaluye.com/live/live.m3u8
(国语) 香港卫视 HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
(国语) 星空卫视,http://116.199.5.51:8114/hls/Fsv_chan_hls_se_idx=233&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=0&Pcontent_id=8114.m3u8
(国语) 阳光卫视,https://stream.chinasuntv.com/680k/mid_video_index.m3u8
(国语) NHK华语视界,https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/zh/725580/livecom_zh.m3u8
(国语) 新加坡8频道,http://d34e90s3s13i7n.cloudfront.net/hls/ch8ctv/master02.m3u8
港澳台(粤语),#genre#
(粤语) Now 新闻 ★,http://hls.globaliptv.ml/now332.php
(粤语) Now 直播 ★,http://hls.globaliptv.ml/now331.php
(粤语) TVB J2,http://live.ergt4rt.wang/gangaotai.php?id=12
(粤语) TVB 财经资讯,http://live.ergt4rt.wang/gangaotai.php?id=10
(粤语) TVB 翡翠 (失效),http://live.ergt4rt.wang/gangaotai.php?id=1
(粤语) TVB 明珠,http://live.ergt4rt.wang/gangaotai.php?id=13
(粤语) TVB 新闻,http://live.ergt4rt.wang/gangaotai.php?id=9
(粤语) 有线 财经资讯 ★,http://wowgua.com/live/channel_108.m3u8
(粤语) 有线 新闻,https://ottproxy2.mott.tv/livehls/MOB-SCC/02.m3u8
(粤语) 有线 新闻 ★,https://icable.cdn.utvhk.com/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c.m3u8
(粤语) 有线 直播新闻 ★,http://wowgua.com/live/channel_110.m3u8
(粤语) 有线 综合娱乐,http://wowgua.com/live/channel_301.m3u8
(粤语) C+,https://ottproxy2.mott.tv/livehls:cmi/MOB-U1-NO/01.m3u8
(粤语) RTHK 31 ★,https://www.rthk.hk/feeds/dtt/rthktv31_https.m3u8
(粤语) RTHK 32 ★,https://www.rthk.hk/feeds/dtt/rthktv32_https.m3u8
(粤语) 开电视,http://media.fantv.hk/m3u8/archive/channel2.m3u8
(粤语) 亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
(粤语) 澳视,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
(粤语) 澳视 澳门,http://61.244.22.4/ch1/ch1.live/playelist.m3u8
(粤语) 澳视 资讯,http://61.244.22.4/ch5/info_ch5.live/playlist.m3u8
(粤语) 澳亚卫视,http://stream.mastvnet.com/MASTV/sd/live.m3u8
(粤语) 莲花卫视,http://live-rtmp.lotustv.duolaibo.cn/lotustv/5562e9e4d409d24c9600075c.m3u8
(粤语) 莲花卫视 FHD,http://220.158.149.14:9999/live/TV00000000000000000069@HHZT;LIVE
海外,#genre#
(英语中字) CNEX,http://220.158.149.14:9999/live/TV00000000000000000083@HHZT;LIVE
(英语中字) Discovery (SD),rtmp://58.200.131.2:1935/livetv/discovery
(英语中字) HBO,http://live.ergt4rt.wang/gangaotai.php?id=27
(英语中字) WarnerTV,http://192.200.97.170:8080/ZZ_huanadianying/ZZ_huanadianying.m3u8
(英语) National Geographic ★,http://livecdnh1.tvanywhere.ae/hls/nat_geo/05.m3u8
(英语) National Geographic People ★,http://livecdnh1.tvanywhere.ae/hls/nat_geo_people/05.m3u8
(英语) National Geographic Wild ★,http://livecdnh1.tvanywhere.ae/hls/nat_geo_wild/05.m3u8
港台新闻,#genre#
TVB无线新闻台,p8p://0198.02686.cc:16871/5d1a69dc000d64b611be7bef5757286e.ts
TVB无线新闻台,https://hdl0901.plures.net/onlive/a195f07a-caaa-4c4d-930a-1156e791cde.flv
TVB无线新闻台,http://185.180.221.194:8278/Inews/playlist.m3u8?tid=56699937&ct=18205&tsum=6a2b767494bda26fa75d52fee20a26c2
TVBS新闻,P2p://190.2.146.92:18912/5c7249c2000e510f1d57a75a30592ee2.ts
TVBS新闻,rtmp://59.124.75.137/sat/tv551
有线新闻台,http://testalicdn2.cdn.utvhk.com/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c-2.m3u8
有线新闻台,https://ottproxy2.mott.tv/livehls/MOB-SCC/03.m3u8?sessionID=XNoSKsoyhu+3ZzGxIn6l1Azz
凤凰香港,p8p://0198.02686.cc:16871/5d1a69d6000505cd11be625a06b24e50.ts
凤凰卫视,p8p://0198.02686.cc:16871/5d1a69d80007b1db11be6ad9e2339543.ts
凤凰卫视,rtmp://58.200.131.2:1935/livetv/fhzw
凤凰卫视,http://liveali.ifeng.com/live/FHZW.flv
凤凰资讯,p8p://0198.02686.cc:16871/5d1a69d90003dbfb11be6dc698fb9973.ts
凤凰资讯,rtmp://58.200.131.2:1935/livetv/fhzx
凤凰资讯,http://liveali.ifeng.com/live/FHZX.flv
非凡新闻,p8p://0198.02686.cc:16871/5d1a69d500091c6b11be5f7e1276fa82.ts
非凡新闻,P2p://190.2.146.92:18912/5c7249cb000744bc1d57c8bd53377361.ts
三立新闻,p2p://190.2.146.92:18912/5c7249be000b87931d5796ff51e62b02.ts
三立新闻,http://60.199.188.61/HLS/WG_ETTV-N/index.m3u8
东森新闻,p8p://0198.02686.cc:16871/5d1a69c2000a678211be159b7e5802a8.ts
东森新闻,P2p://190.2.146.92:18912/5c7248a0000383701d5337cb153b4b51.ts
中天新闻,http://341697390.r.fdccdn.net/live/tw_zhongtian_xw.m3u8
壹新闻,p8p://0198.02686.cc:16871/5d1a69b6000b8d0a11bde706a99c146a.ts
寰宇新闻,p8p://0198.02686.cc:16871/5d1a69ba0007750411bdf59a5aa4b66d.ts
民视新闻,p8p://0198.02686.cc:16871/5d1a69c50008f95211be20f5ac2747e5.ts
东森财经,p8p://0198.02686.cc:16871/5d1a69c300063ae211be1871800a9ae8.ts
寰宇财经台,p8p://0198.02686.cc:16871/5d1a69bb00034ddd11bdf8710f58e2f3.ts
耀才财经台,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
澳亚卫视,http://stream.mastvnet.com/MASTV/playlist.m3u8
澳亚卫视,vjms://23.237.33.155:8500:3502/live/cid=337
KHS,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
RTHK31,http://rthklive1-lh.akamaihd.net/i/rthk31_1@167495/index_2052_av-p.m3u8
RHK32,https://rthklive2-lh.akamaihd.net/i/rthk32_1@168450/index_1080_av-b.m3u8
CNBC,vjms://58.215.133.185:8500:3502/live/cid=98
CNBC,p8p://0198.02686.cc:16871/5d1a69720002ca3711bcdb2830f420fe.ts
CNBC,vjms://23.237.33.155:8500:3502/live/cid=98
CNN,p8p://0198.02686.cc:16871/5d1a6972000da8dd11bcddf043353558.ts
CNN,vjms://23.237.33.155:8500:3502/live/cid=428
BBC,vjms://58.215.133.185:8500:3502/live/cid=418
BBC,vjms://23.237.33.155:8500:3502/live/cid=418
港台影视,#genre#
HBO原创电影,vjms://58.215.133.185:8500:3502/live/cid=436
HBO原创电影,vjms://23.237.33.155:8500:3502/live/cid=436
HBO家庭,vjms://58.215.133.185:8500:3502/live/cid=181
HBO家庭,vjms://23.237.33.155:8500:3502/live/cid=181
HBO强档,vjms://58.215.133.185:8500:3502/live/cid=238
HBO强档,vjms://23.237.33.155:8500:3502/live/cid=238
HBO,vjms://58.215.133.185:8500:3502/live/cid=261
HBO,vjms://23.237.33.155:8500:3502/live/cid=261
东森电影,p8p://0198.02686.cc:16871/5d1a69af0009735f11bdcb2402d2abda.ts
东森电影,p2p://51.79.41.138:18912/5c7249d3000cb8ea1d57e9650d7148b7.ts
靖天电影台,p8p://0198.02686.cc:16871/5d1a69d4000d791711be5cb4cbc75c73.ts
龙华经典,p2p://fccsovh.pvbox.live:18912/5b14090b0001269c17d0ee93023202c3
龙华影剧,P2p://51.79.41.138:18912/5b1408f2000aaf8c17d08f5c001549e8.ts
美亚电影,P2p://190.2.146.92:18912/5c724a0e000442831d58cdaa6a2c5c52.ts
美亚电影,p2p://51.79.41.138:18912/5c724a0e000442831d58cdaa6a2c5c52.ts
星卫电影台,P2p://190.2.146.92:18912/5c724a05000626a61d58aaff0c3f3175.ts
星卫电影,p2p://51.79.41.138:18912/5c724a05000626a61d58aaff0c3f3175.ts
卫视电影台,p8p://0198.02686.cc:16871/5d1a69d0000743f711be4b7d2b320c30.ts
纬来电影台,P2p://190.2.146.92:18912/5c7249d80003096d1d57fa6c33601be9.ts
纬来电影台,p8p://0198.02686.cc:16871/5d1a69ce0005e8e911be435423cf0509.ts
纬来电影台,p2p://170.178.164.250:6141/5b448afc0007f4650004373eda7b4dd8.ts
FOX电影,vjms://58.215.133.185:8500:3502/live/cid=94
FOX电影,vjms://23.237.33.155:8500:3502/live/cid=94
FOX动作电影,P2p://51.79.41.138:18912/5b7267ae000b9c6c35cc884079c70164.ts
FOX动作电影,http://104.250.154.42:8080/ZZ_foxaction/ZZ_foxaction.m3u8
采昌影剧,p2p://fccsovh.pvbox.live:18912/5b1409db0009049a17d41d161677386d
TVB星河,msc://CXHMovie
TVB星河,p8p://0198.02686.cc:16871/5d1a69940005adb211bd60b57a4af31b.ts
TVB韩剧台,msc://CKDrama5
華藝影剧台,p8p://0198.02686.cc:16871/5d1a69d700008c5a11be651dc2bd3d52.ts
三立戏剧台,p8p://0198.02686.cc:16871/5d1a69f90000ad2611bee9f55d87748f.ts
纬来电影,p2p://51.79.41.138:18912/5c7249d80003096d1d57fa6c33601be9.ts
纬来戏剧,vjms://58.215.133.185:8500:3502/live/cid=137
纬来戏剧,vjms://23.237.33.155:8500:3502/live/cid=137
纬来戏剧,P2p://190.2.146.92:18912/5c72488e000bae061d52f38e705751dd.ts
EYETV戏剧台,p8p://0198.02686.cc:16871/5d1a69a2000ca28211bd992d29a29542.ts
大爱二台,p8p://0198.02686.cc:16871/5d1a69b8000386b311bdecc8d9c8c96a.ts
凤凰电影台,rtmp://58.200.131.2:1935/livetv/fhdy
凤凰电影台,https://116.77.72.195/streams/d/fhdy/playlist.m3u8
WarnerTV,http://192.200.120.82:8080/ZZ_huanadianying/ZZ_huanadianying.m3u8
AXN,vjms://58.215.133.185:8500:3502/live/cid=2
AXN,vjms://23.237.33.155:8500:3502/live/cid=2
FX,p8p://0198.02686.cc:16871/5d1a69a50009208511bda3ff8356848f.ts
BLUEANT,p8p://0198.02686.cc:16871/5d1a69a60004767211bda6b5be685208.ts
好莱坞电影,P2p://190.2.146.92:18912/5c7249e2000125281d5820ff23a165d1.ts
CHC高清电影HD,rtmp://58.200.131.2:1935/livetv/chchd
CHC家庭电影,rtmp://58.200.131.2:1935/livetv/chctv
CHC动作电影,rtmp://58.200.131.2:1935/livetv/chcatv
云视台湾,#genre#
華 視,http://104.250.154.42:8080/ZZ_huashi/ZZ_huashi.m3u8
民視,P2p://190.2.146.92:18912/5c72483f0003db4b1d51bcf349367c26.ts
中視,P2p://190.2.146.92:18912/5c72484b000b1d091d51edb7087b7686.ts
中視,http://104.250.154.42:8080/ZZ_zhongshi/ZZ_zhongshi.m3u8
TVBS精彩台,P2p://190.2.146.92:18912/5bdbf3b20000e966d2177540400d0818.ts
中天新聞,P2p://190.2.146.92:18912/5c7249b6000641f71d5776673c1d2f63.ts
TVBS新聞,P2p://190.2.146.92:18912/5c7249c2000e510f1d57a75a30592ee2.ts
非凡新聞,P2p://190.2.146.92:18912/5c7249cb000744bc1d57c8bd53377361.ts
衛視電影,P2p://190.2.146.92:18912/5c7249cf00095b611d57d8da587f1c48.ts
東森新聞,P2p://190.2.146.92:18912/5c7248a0000383701d5337cb153b4b51.ts
三立新聞,P2p://190.2.146.92:18912/5c7249be000b87931d5796ff51e62b02.ts
中天亞洲,P2p://190.2.146.92:18912/5c724839000d2f361d51a7e41eb00016.ts
TVBS歡樂,P2p://190.2.146.92:18912/5c72488a000a56b71d52e3a07060345e.ts
原住民電視,P2p://190.2.146.92:18912/5bdbf387000760a7d216ceee78f739f8.ts
客家電視,P2p://190.2.146.92:18912/5bdbf38e00051950d216e9ba54201283.ts
迪士尼卡通,P2p://190.2.146.92:18912/5b1409f30004f6ec17d479cd524c4642.ts
MOMO親子臺,P2p://190.2.146.92:18912/5d70eb0f000a5e750d0a9659304554ba.ts
東森超視,P2p://190.2.146.92:18912/5c72487c000667911d52abe7044c2b21.ts
三立台湾,P2p://190.2.146.92:18912/5c72486a000b11721d5266cf1bf84bce.ts
非凡商業,P2p://190.2.146.92:18912/5b140a9a0001dd5b17d7055a180573f2.ts
MTV LIVE HD,P2p://190.2.146.92:18912/5b1408f100084d6a17d08ad863d85a21.ts
V音樂,P2p://190.2.146.92:18912/5b593be200077048d379e5e141cb2a5d.ts
Discovery(知識頻道),P2p://190.2.146.92:18912/5bee4e9b0004056f19ca944341e3368d.ts
靖天戲劇,P2p://190.2.146.92:18912/5b14093e000c1de917d1b89a306502e9.ts
緯來精彩,P2p://190.2.146.92:18912/5b14094a0000e95117d1e49b2d550d9f.ts
LIFETIME,P2p://190.2.146.92:18912/5b593bd20009b7c8d379a7ed5405277e.ts
GOOD?TV?,P2p://190.2.146.92:18912/5bdbf39200017a4bd216f86f7a511c7b.ts
EVE,P2p://190.2.146.92:18912/5bdbf3a000041d6ad2172fcb0dab6930.ts
亞洲旅遊,P2p://190.2.146.92:18912/5c724854000188081d520e6e279b2446.ts
美亞電影,P2p://190.2.146.92:18912/5c724a0e000442831d58cdaa6a2c5c52.ts
東森幼幼,P2p://190.2.146.92:18912/5c724866000564111d5255b84de26a1c.ts
東森電影,P2p://190.2.146.92:18912/5c7249d3000cb8ea1d57e9650d7148b7.ts
東森戲劇,P2p://190.2.146.92:18912/5c724882000704081d52c386798d4d25.ts
緯來電影,P2p://190.2.146.92:18912/5c7249d80003096d1d57fa6c33601be9.ts
緯來戲劇,P2p://190.2.146.92:18912/5c72488e000bae061d52f38e705751dd.ts
HBO HD,P2p://190.2.146.92:18912/5c7249dd000ca2101d58106551ff3ed4.ts
國家地理野生,P2p://190.2.146.92:18912/5c7249fb000db88c1d5885e333974925.ts
星衛娛樂,P2p://190.2.146.92:18912/5c724a0a000180991d58bd4f6e533ad5.ts
星衛電影,P2p://190.2.146.92:18912/5c724a05000626a61d58aaff0c3f3175.ts
好萊塢電影,P2p://190.2.146.92:18912/5c7249e2000125281d5820ff23a165d1.ts
MOMO親子,P2p://190.2.146.92:18912/5c7248620002c4fd1d52456c75ed6b55.ts
迪士尼卡通 ,P2p://190.2.146.92:18912/5c72485c0008852e1d522f7314a34325.ts
JET綜合,P2p://190.2.146.92:18912/5c724892000e3e1c1d5303da4a3c6c26.ts
ELTA體育3 ,P2p://190.2.146.92:18912/5c7249f7000966361d58752a73813a0e.ts
東森綜合,P2p://190.2.146.92:18912/5c724877000e7b2d1d529a721b487255.ts
51P2P,#genre#
中天新聞,p2p://51.79.41.138:18912/5c7249b6000641f71d5776673c1d2f63.ts
TVBS新聞,p2p://51.79.41.138:18912/5c7249c2000e510f1d57a75a30592ee2.ts
非凡新聞,p2p://51.79.41.138:18912/5c7249cb000744bc1d57c8bd53377361.ts
東森新聞,p2p://51.79.41.138:18912/5c7248a0000383701d5337cb153b4b51.ts
三立新聞,p2p://51.79.41.138:18912/5c7249be000b87931d5796ff51e62b02.ts
壹電視新聞,p2p://51.79.41.138:18912/5c724897000cb1861d5316f515e3763e.ts
年代新聞,p2p://51.79.41.138:18912/5b1409fd000a72692a6580254840e3c2.ts
民視,p2p://51.79.41.138:18912/5c72483f0003db4b1d51bcf349367c26.ts
